昵称,日期,评分,产品,评论
K***子,2021-04-25 10:03:32,4,已购 标准款（微信提醒+同步家人）,"「物流」物流特别快，今天下单，第二天就到货了，很棒。
「包装」包装完好无损，没有任何破损。
「实用性」实用性很高，有4个药盒，还是够用的，点赞。
「不足」放小药丸不太合适，不太好取，大药丸可以的，没有问题。
总体来说还好。"
0***4,2020-11-14 13:18:13,5,已购 标准款（微信提醒+同步家人）,小身材，大容量，差不多能带一周的药片（颗粒相对小一点的），非常好用，提示音也非常清楚，赞👍一个
f***8,2023-08-19 15:40:52,5,已购 ⭐升级款（支持HUAWEI HiLink）,客服态度非常好，如果说她第二没有人会是第二，京东物流非常非常的快，在中国没有更快只有最快。宝贝很智能，解决了忘记吃药的问题了，非常好非常给力非常不错。
5***f,2025-04-11 20:54:14,5,已购 ⭐升级款（支持HUAWEI HiLink）,提醒按时用药小药盒确实不错，做工精细，四个药仓，大小合适 用手机设定四个药仓的提醒时间，不会忘记按时用药，真不错。送货很快，给京东点赞。
坏***0,2020-12-15 23:20:26,5,已购 标准款（微信提醒+同步家人）,不错，很贴心，很好用的智能药盒，药太多的时候，不用去想吃没吃，吃多少了。
丁***超,2021-05-23 20:49:44,5,已购 标准款（微信提醒+同步家人）,"非常的好，随身携带方便，密封性也很好。
仓格很大，可以放一些大型的药丸，就是仓格数量仅有4个，有点少了哦。
还有，连接手机后，可以定时吃药！"
元***满,2022-02-13 15:35:41,5,已购 标准款（微信提醒+同步家人）,药盒设计不错，不过老人用的话，建议药盒分隔的多一些，电池不知都能用多久，感觉中青年更适合一些，携带挺方便，还是习惯点个赞吧。
f***4,2022-10-15 18:29:30,5,已购 ⭐升级款（支持HUAWEI HiLink）,这款智能药盒用起来太方便啦，这回不用惦记每种药几点服用了，手机里面设置好各种药品的时间，到时候就可以自动提醒，真的太方便了
李寻欢Tor,2021-01-22 20:04:25,5,已购 标准款（微信提醒+同步家人）,这个是为妈妈购买的，妈妈说非常好用，因为有提示功能，每次忘记吃药这个便会发出提示的声音，特别人性化。而且该吃那个药都会有灯光提示，非常非常完美。推荐，强烈推荐。
萤***6,2023-04-13 12:11:40,5,已购 ⭐升级款（支持HUAWEI HiLink）,很好用，每次吃药都有声音提醒，也有专门用的软件，在微信小程序上面果实智能药盒就可以查看，还有服药记录，很方便。
糖***2,2020-12-20 00:37:12,5,已购 标准款（微信提醒+同步家人）,很实用，已经给父母配备了，四个药盒基本能把重要的药覆盖住，但有些保健药就没有地方放了。总感觉可以再利用下空间，不过总体已经很优秀。操作也算方便，不知道纽扣电池可以支撑多久
塔***风,2022-04-18 09:42:34,5,已购 ⭐升级款（支持HUAWEI HiLink）,好用，非常好用，第一次用这个牌子。药苍布局合理，使用方便简单。
C***8,2024-05-27 09:05:52,5,已购 标准款（微信提醒+同步家人）,老人吃药老忘，有了这个便携的提醒器，出门在外在也不怕了。真的太方便了，还有就是京东小哥，直接送到病房，京东小哥就是快！！！
士***试,2023-01-20 20:37:30,5,已购 ⭐升级款（支持HUAWEI HiLink）,测试过了，还真不错。设置好了时间，断掉蓝牙也能到期提醒。放在饮水机旁边，老人高血压听到时间，就不会忘记吃了，孩子听到了也能提醒一下。
大***u,2020-06-27 17:25:17,5,已购 标准款（微信提醒+同步家人）,发货挺快的，东西还可以，设置好时间以后到点会提醒，有灯光，大小适中吧，做工感觉一般，外观不耐磨，我买来放维生素保健品的，容量还可以，外观挺好看，手感也不错，总体来说还可以吧，价格也还行，活动的时候购买的。
y***3,2022-02-27 23:00:34,5,已购 标准款（微信提醒+同步家人）,送给老人的，他很喜欢，不过对于老人来说，绑定有些困难，能提醒吃药，是个不错的工具，高血压人士还是很方便的，出门带着比较小巧。
z***6,2021-12-09 09:41:29,5,已购 标准款（微信提醒+同步家人）,很不错的药盒，就是不知道电量能使用多久，毕竟只是纽扣电池。另外要是有计时就好了，只能设置固定时间吃药，毕竟吃饭时间不一定是固定的。
j***m,2023-01-27 18:52:11,5,已购 标准款（微信提醒+同步家人）,宝贝收到了，质量一如既往很不错。之前买过这家出品的眼部湿敷仪，用得不错。包装精致，材质优秀，比想象中好，送礼自用非常合适，下次继续购买。
x***p,2023-05-22 07:31:35,5,已购 ⭐升级款（支持HUAWEI HiLink）,"父母用药，寻找更简单直观有保障的智能药盒中，这款还没使用，过段时间继续追评，外观是比较便捷小巧的，提几个建议，如果有智能药盒品牌商能考虑这几点相信还是会走很大需求的。
1.最好有一周七天一天四盒容量的药盒，毕竟一次性准备方便，老人用药量多。即考虑家用版和便捷版。
2.电池或是充电都具备，没电提醒、吃药提醒要大声，甚至可添加人录音更能满足多样应用场景也避免电池没了漏食药的风险。"
探***8,2022-01-24 15:14:58,5,已购 标准款（微信提醒+同步家人）,非常不错的东西，为了买药盒也是费了不少心思，既要能够防潮，也要有提醒功能，虽然手机也可以设置提醒，但是还是不够直观，买了这个试一下，应该不错的。
c***e,2022-05-12 23:46:34,5,已购 标准款（微信提醒+同步家人）,这个真的挺好 对于总是忘了按时服药的人来说真的是福音 到点了闪灯 蜂鸣 加上手机推送提醒吃药  非服药时间会亮红灯 该吃哪个药 药仓亮绿灯 打开错了会亮红灯 很有心思哦 不过希望以后能开发只有手机推送的提醒 就更人性化一些啦
J***o,2024-04-15 16:28:34,5,已购 ⭐升级款（支持HUAWEI HiLink）,非常好用，在 app里设置好以后，到时间提醒吃药，并且吃哪种药盒子里的分区灯都会闪烁，如果没到时间打开了盒子，会闪烁红灯，提醒未到吃药时间。
j***0,2024-10-26 11:29:19,5,已购 ⭐升级款（支持HUAWEI HiLink）,这个药盒非常实用，可以与手机APP直接连接。它可以帮助你提醒何时服药，还可以细分早晚各需要吃多少颗药。所有药名都可以编辑在APP中，到点时APP会提醒你服用药物及数量。这是一个值得拥有的药盒。
y***_,2021-04-10 09:24:09,5,已购 标准款（微信提醒+同步家人）,"东西不错，还有优惠，可以放心省钱购买，不要犹豫了
物美价廉，物流给力，值得回购
非常值得信赖的品牌，质量有保障，价格还亲民，相当满意
到货就迫不及待打开了，果真没有让我失望，质量特别好，颜值也相当高，满意的一次购物"
成***负,2023-04-16 19:22:32,5,已购 ⭐升级款（支持HUAWEI HiLink）,很好看，制作工艺很精美，材质也很好！给个赞！宝贝与描述基本一致，发货很快，解决了我经常忘记吃药的痛点。大品牌！值得信赖的！效果超级好！
綠***徒,2021-10-03 20:13:52,5,已购 标准款（微信提醒+同步家人）,老婆平时工作比较忙，经常忘了吃药。买了这个智能药盒，用起来非常方便，定期就会有蜂鸣声提醒。小程序也能提示吃药情况，非常有意思。
b***7,2022-08-01 22:00:40,5,已购 标准款（微信提醒+同步家人）,精挑细选很久✨，最后决定买这一款🎁，到货后果然没有让我失望，实物很漂亮🔮，做工很精细🌈，特别满意💖，盒子精致，已经买第二个了。
j***n,2020-06-20 12:20:57,5,已购 标准款（微信提醒+同步家人）,非常好，不同颜色的灯还可以提醒自己是不是吃错药。我是肾移植患者对服药有严格的控制。有了他不怕吃错了。
撰***7,2021-11-06 14:13:36,5,已购 标准款（微信提醒+同步家人）,智能药盒挺好的！前段时间吃几样药的时候能够如期提醒！真好！
C***9,2021-02-28 11:31:14,5,已购 标准款（微信提醒+同步家人）,这个药盒不错，给妈妈买的，爸妈都说挺好，能装很多，而且智能有提醒，还能不知道放哪了寻找。建议再研究研究出个大的～仓多一点的～然后就是小程序扫码那个建议更新一下～优化一下～
J***6,2024-12-18 06:03:57,5,已购 ⭐升级款（支持HUAWEI HiLink）,盒子还是简洁风，虽然没有想象中的小巧，但是也还可以，携带也OK～总体上还是满意的～物流一如既往的给力，京东还是值得信赖的～
j***1,2020-08-03 22:46:07,5,已购 标准款（微信提醒+同步家人）,药盒设计外观、功能都不错，已设置好，就是电池仓要注意电池安装，否则容易接触不良，说明书此处也没有清晰图示，建议今后补上细节图
t***g,2023-11-03 18:55:38,5,已购 标准款（微信提醒+同步家人）,非常好用，声音还可以，能够放几天的药，设置方便
徐***松,2023-05-31 09:56:32,5,已购 ⭐升级款（支持HUAWEI HiLink）,东西还行吧，就是功能单一一些。到点提醒，基本上没有其他的交互了。感觉直接用软件提醒是一样的，简易以后更智能话一点。直接设备上增加一个按钮。
u***9,2022-03-18 15:36:53,5,已购 标准款（微信提醒+同步家人）,样品很好，收到样品一打开看和网上描述的一模一样，很喜欢😘，京东快递赞赞赞，当天下单当天就收到货。身边朋友看到了也都赞个不停。
壮***猪,2023-03-15 11:40:51,5,已购 ⭐升级款（支持HUAWEI HiLink）,这个药盒很好，携带方便。很智能。还没开始使用。感觉很高级的样子。嗯，后期使用了，还有什么情况再来追评。现在感觉很好。很不错
j***z,2024-03-30 16:45:59,5,已购 ⭐升级款（支持HUAWEI HiLink）,京东买东西，发货速度快，包装结实，到货速度也非常快，真是方便又快捷。药盒质量好，吃药有提醒，很喜欢。
待***时,2023-03-15 21:14:16,5,已购 ⭐升级款（支持HUAWEI HiLink）,"质量非常好，与卖家描述的完全一致，真的很喜欢，完全超出期望值，发货速度非常快，包装非
常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物，质量很好，希望更
多的朋友信赖。店主态度特好，会再次光顾的好卖家。赞，发货迅速，态度很好，很满意！很好
很好！网上购物这么激烈，没想到店家的服务这么好，商品质量好而价低廉，很热情的卖家，下
次还来，希望下次还有机会合作。祝你生意兴隆！"
晨***韵,2021-06-19 17:25:05,5,已购 标准款（微信提醒+同步家人）,之前看中的，看着搞活动便宜就买了，喜欢新奇的东西，对提醒吃药还是比较有作用的，到时间盒子就会亮，如果不吃，过会还会响，手机也会有提醒，完成度挺高的。
W***_,2022-08-04 22:38:09,5,已购 ⭐升级款（支持HUAWEI HiLink）,使用非常方便，可以通过app设置吃药提醒，合理规划吃药，外观看起来的也非常的棒，总的来说就是很棒了，值得推荐！！！格子4格还是够了
j***2,2021-07-21 08:00:47,5,已购 标准款（微信提醒+同步家人）,宝贝收到了，智能药盒精质，药盒材质很好。商家服务很到位发视频帮助我解决不会问题，物流配送很快转天就到货了。
飛***火,2025-01-16 04:37:21,5,已购 ⭐升级款（支持HUAWEI HiLink）,看起来还不错，容量也不算小，这个提醒功能要具体用了才知道
吕***0,2021-05-13 08:57:38,5,已购 标准款（微信提醒+同步家人）,超级好用，提醒我这个金鱼的记忆，再也不怕错过吃药的时间了，饭前服，饭后服也清清楚楚不会搞混。
淘***y,2023-02-22 18:15:27,5,已购 ⭐升级款（支持HUAWEI HiLink）,一直会忘记吃药，很着急，所以下单买了这个药盒，很适合懒人，到时间会提醒你吃药，不过好像药盒大了点，不适合随身携带，物流很快。
w***a,2022-05-08 18:09:48,5,已购 标准款（微信提醒+同步家人）,非常奇妙的好物，很智能，功能完善，可以扫码添加药品，还可以智能寻找，放在包里很方便。很高级的感觉。
圣***茄,2021-03-13 23:36:51,5,已购 标准款（微信提醒+同步家人）,超级棒哈哈哈哈直接排除了以前可能忘吃、或者吃重了药的现象，设定好服药计划就可以定点声光提醒，而且小盒还能随身带上半个月的药量，出远门办事拒绝大包塑料袋的携带困扰，拿取也方便（尤其是只吃半片的那种药，再也不用担心第二天在药瓶里找不到那半片药的困扰了，也不会之前那样掉到塑料袋里，还很卫生），后悔买的太晚了，长期服药早买早享受啊！
墩***m,2023-03-09 10:19:53,5,已购 ⭐升级款（支持HUAWEI HiLink）,这药盒非常智能，非常好用这次给哥哥买，偶然间发现可以跟华为链接正好哥哥用的华为手机，希望这个药盒可以减少哥哥总忘吃药的习惯应该有用！
伊***众,2021-12-10 21:35:48,5,已购 标准款（微信提醒+同步家人）,商品收到咯，特别喜欢，一收到就迫不及待地打开了，家人也很满意，这次购物体验不错宝贝做工真的非常精细，细节真的棒，爱了爱了东西比我想象中的还要完美，十分给力，值得入手便宜又实惠，买了好多，宝贝一如既往的好😊，性价比非常高，大品牌值得信赖👍
铁***运,2021-03-21 09:56:48,5,已购 标准款（微信提醒+同步家人）,品质很不错🍆，性价比比较高的的商品🍀，喜欢的亲可以直接下手不要犹豫哦📍😃大品牌！值得信赖！效果超级好！贵有贵的道理！很棒的商品！
M***2,2021-05-14 22:06:32,3,已购 标准款（微信提醒+同步家人）,做工质感很好 软件做的稀烂 一点也不智能
j***L,2021-07-24 15:02:42,5,已购 标准款（微信提醒+同步家人）,很好用。设置方便快捷。到时间提醒吃药，打开药盒还提醒吃哪个药，完美！爱了爱了。就是4个盒子有点少了，对于年纪大的老人每天吃的药和保健品多的话就不方便了。最好能出个盒子多些的款式，那我肯定给我爸妈各买一个。也不知道一个手机能配几个药盒。
j***2,2022-02-14 18:16:00,4,已购 标准款（微信提醒+同步家人）,做工细致，感觉质量很好，但是用了才知道，每个小盒里只能放一种药，如果老人吃的药超过4种，这盒子就不合适了，大家请注意！
L***钾,2022-12-15 10:55:34,5,已购 ⭐升级款（支持HUAWEI HiLink）,非常好的药物提醒，有了它很省心。
j***0,2021-06-19 07:58:37,5,已购 标准款（微信提醒+同步家人）,"回购产品，给亲戚代买的
安装预先设定的时间，会间隔提醒三次
手机也会收到提醒服药的信息
携带方便、但是装的量有限
服药多的，可以配合那种不到提醒的药盒，拿它做提醒"
a***煦,2023-03-28 10:40:54,5,已购 ⭐升级款（支持HUAWEI HiLink）,好用的不得了。再也不会忘记服保健品了，小巧，便捷，还特别的好用，手机上设置好，到点了会有三次提醒。间隔十分钟一次，简直是太爱乐
o***x,2025-09-15 11:05:21,5,已购 ⭐升级款（支持HUAWEI HiLink）,好用，灯光声音综合提醒，做工不错，
韦***卫,2022-02-19 17:50:15,5,已购 标准款（微信提醒+同步家人）,挺智能的，但是不够傻瓜，很依赖手机，需要先绑定操作好，如果父母不会使用手机还是比较麻烦的。外观比打火机大，携带还算方便，能提醒是否吃过，吃过与否会有灯光提示，但是提醒吃药的声音比较小，容易听不到，而且音量无法调节。
我***家,2023-05-01 20:00:50,5,已购 ⭐升级款（支持HUAWEI HiLink）,前段时间想买个智能提醒的老是记不住吃药 刚好搜到了这个，拿到货就设置好有四种药可以放 我都放满的设置好时间一到就会提醒 微信也会提醒 如果没打开吃10分钟后就会在提醒一次
l***白,2020-10-16 09:03:49,5,已购 标准款（微信提醒+同步家人）,特别好用自从买了这个按时吃药不会错过。有声音提醒和手机记录。值得购买。不知道电池耐用不。要是再多几个盒就更完美了。对于吃药多的要是有10格就好了。
憨***e,2020-12-22 14:58:09,5,已购 标准款（微信提醒+同步家人）,😍发货很快，两三天就到了，这个颜色我很喜欢，性价比很高，非常nice宝贝收到，物流很快，描述相符，比较满意，好评，推荐已经用过一段时间了，效果不错😍，客服服务有耐心，解答详细，赞一个
u***w,2021-01-20 11:33:11,5,已购 标准款（微信提醒+同步家人）,"刚买一周多点就降了30元，这差也太大了。
东西还是挺好，老人之前总忘记吃或不知道吃没吃。现在这个智能提醒不错，药盒响，手机也提示。"
j***0,2023-06-18 20:17:31,5,已购 标准款（微信提醒+同步家人）,这款智能药盒非常小巧便携，可以设置与手机绑定，实时提醒父亲按时吃药，减少因漏吃药而导致血压高。也让我们更安心，不用天天关注父亲有没有忘吃药
u***4,2022-04-14 19:27:19,5,已购 标准款（微信提醒+同步家人）,提醒自己吃药用的 容量很大 连到手机很方便 忘记吃药会很痛 有时候忙起来容易忘记 还好有他提醒 真不错 不用每次设置闹钟了
C***N,2021-06-18 10:02:53,5,已购 标准款（微信提醒+同步家人）,对于连吃维生素都能忘了的人...这个小药盒真的是神器..设定时间到点提醒吃哪个仓的药...手机和药盒同时提醒和推送..真心不错...
架***利,2023-06-06 10:27:12,5,已购 ⭐升级款（支持HUAWEI HiLink）,用来提醒吃药的，每次都忙忘记吃药，这个会叫唤，还可以吧，只不过，没吃多久的药就没了，估计又是闲置了，贵且闲置，快递很快的
承***爱,2023-02-08 16:45:42,5,已购 ⭐升级款（支持HUAWEI HiLink）,挺好用，防止忘记吃药～，就是内盖如果做成转轴的就更好了！另外配把小勺体验会更好！
d***y,2022-09-18 11:27:54,5,已购 ⭐升级款（支持HUAWEI HiLink）,智能时代来了，连药盒都变得智能了，买了这款产品后，再也不需要反复提醒长辈服药，悉心的、人性化的手机连接设计，可以很好解决这个问题。
5***1,2023-08-11 13:38:31,5,已购 ⭐升级款（支持HUAWEI HiLink）,不错，头脑记忆不好的人使用不错，忘不了吃药的时间，更为方便
竞***1,2023-03-10 15:00:59,5,已购 标准款（微信提醒+同步家人）,"买给妈妈用的，药盒很小巧精致,适合随身携带,就算外出，放在包里面也不占地方，主要是吃药提醒，到了吃药时间，药盒和手机都会发出警示，提醒服药，非常满意。"
M***娘,2023-11-02 15:44:40,5,已购 标准款（微信提醒+同步家人）,爱了爱了，很好用，四个格子，可以预约是4个时间定时提醒，再也不用担心忙忘啦，值得推荐，携带也方便。
j***3,2024-10-05 10:24:15,5,已购 ⭐升级款（支持HUAWEI HiLink）,外观漂亮，体积稍有点大，能装的药多。设置项目丰富，可以起到很好的提醒作用，是个称职的吃药小助手！
班***y,2021-03-12 15:28:55,5,已购 标准款（微信提醒+同步家人）,帮家里买的便携式药盒，简单大方方便，而且功能还多，解决了平实工作忙容易忘记的情况。
*****,2022-06-05 20:26:26,5,已购 ⭐升级款（支持HUAWEI HiLink）,老爸血压高，不提醒就会忘记吃药，这个药盒正是他所需要的。根据说明书与手机绑定后，到时间自动提醒，我跟老妈放心多了，为健康，值得
太***-,2024-02-15 16:51:08,5,已购 ⭐升级款（支持HUAWEI HiLink）,之前吃药总是忘记，这次好了，还有手机提醒，不会再忘记吃药了，不错，物流速度也很快，第二天就到了，过年也没耽误，希望京东越做越好，希望能做成充电款
j***j,2025-06-08 22:06:40,5,已购 ⭐升级款（支持HUAWEI HiLink）,家里人用很方便，提醒功能很实用。很漂亮
i***a,2021-06-19 21:18:01,4,已购 标准款（微信提醒+同步家人）,京东的物流服务很好，药盒使用小程序连接，认真看说明书的话，设置也顺畅。不足的一点是，必须使用药盒在规定的时间吃药。我用来提醒吃维生素，吃过了无法在app上标记&ldquo;已吃&rdquo;，现在每天晚上定时响，比早上起床的闹铃对大脑的刺激还要强。商家改进一下吧。
w***6,2021-12-29 08:56:09,5,已购 标准款（微信提醒+同步家人）,114元入手！！！之前买了3个，还是挺好用的！！！容量也挺大的！！！有'提醒，挺好的！！！物流是京东本地仓，用了三天时间！！！
一***了,2020-10-16 14:10:44,5,已购 标准款（微信提醒+同步家人）,不错，手感可以的，药仓挺深的，再缩小点，就可以装7天的药了，适合出差，有待改进
x***s,2023-07-07 23:18:45,5,已购 标准款（微信提醒+同步家人）,买来给家里老人放药品。还有定时提醒服务也太贴心了吧。再也不用担心家里老人忘记吃药了。已经推荐给朋友们了。哈哈哈哈。哈哈哈
逆***暴,2020-12-22 18:30:13,5,已购 标准款（微信提醒+同步家人）,颜值挺高 挺方便的 可以设置提醒吃药时间和药量
Z***5,2022-11-20 12:15:30,5,已购 ⭐升级款（支持HUAWEI HiLink）,"质量非常好,与卖家描述的完全一致, 真的很喜欢,完全超出期望值,发货速 度非常快,包装非常仔细、严实,京东物流公司服务态度很好,运送速度很快,很满意的一次购物质量很好, 希望更多的朋友信赖京东. 客服态度特好, 我会再次光顾的，发货迅速，态度很好，很满意！很好很好！下次有机会再找你，客服人蛮好的，东东很不错,淘到心意的宝贝是一件让人很开心的事，比心。"
火***那,2021-01-13 12:58:45,5,已购 标准款（微信提醒+同步家人）,东西不错，还有优惠，可以放心省钱购买，不要犹豫了💌收到立马打开看了一下，非常不错，质量超好，颜值又高😘，推荐推荐🉑店家发货非常快，服务态度很好，应该是正品，一次很愉快的购物终于收到货了，非常非常喜欢，做工精致漂亮，已经被很多人夸了，真的太开心了，已经是他家的忠实粉丝了，以后还会继续买买买的比平时要便宜，囤了不少，特别特别满意👍，超级好看😍，客服很有礼貌，很客气，良心商家，支持！价格非常的美丽，东西还是不错的，会继续回购！全五分！奈斯奈斯～东西质量还可以，快递速度也很给力
b***u,2022-03-31 17:21:40,5,已购 标准款（微信提醒+同步家人）,小药盒很精致，装药时会觉得产品设计用心了，赞！
痴***香,2020-10-19 22:48:58,5,已购 标准款（微信提醒+同步家人）,比想象中的好看，也很好用，提醒功能也很好
闪***狼,2021-08-21 22:53:11,5,已购 标准款（微信提醒+同步家人）,平时工作比较忙总是忘了吃药，有的时候药分好了放在药盒里要不是胃难受了根部想不起来吃，经常一放就是十天半个月的，这下好了有了这个智能药盒可以天天到点提醒我吃药了。
-***-,2023-04-10 17:42:46,5,已购 ⭐升级款（支持HUAWEI HiLink）,"很小巧，容量也很大
会定时提醒，再也不会忘记吃药了
整体非常不错"
滔***彩,2021-11-05 20:48:32,5,已购 标准款（微信提醒+同步家人）,物流很快，一直是期望的物流商都网。盒子不错，买了给老妈用的，这样子就不会忘记了。很好，血压问题不担心了。
j***z,2023-10-27 09:14:20,5,已购 标准款（微信提醒+同步家人）,已经用了一段时间了，感觉挺方便的，装药的量也合适，整体用下来蛮不错的哦
M***-,2024-02-29 09:38:28,5,已购 ⭐升级款（支持HUAWEI HiLink）,买给妈妈的，超级好用，买来之后就没忘记过吃药💊，而且装在包里也很方便，出去玩也容易携带。
j***h,2022-04-14 10:21:56,5,已购 标准款（微信提醒+同步家人）,挺好用的，有蓝牙设置提醒，药仓独立，提醒也还不错，就是略贵，功能不多，希望可以更新
宁***圆,2020-07-22 15:04:41,5,已购 标准款（微信提醒+同步家人）,京东从来没让我失望过，这个药盒好看，高大上，连在手机上到时间提醒吃药，大爱
浪***枫,2021-10-16 14:39:14,5,已购 标准款（微信提醒+同步家人）,"1现在的科技是真发达，哈哈，越来越便利了，老妈血糖比
较高，经常忘记吃药，就买了这个，设定好时间后，到了
时间就微信提示，然后每种药怎么吃，吃多少，什么时间
吃都可以设定，还是比较方便的。到了吃药的时间，打开
显示绿色的就可以直接吃，不在吃药时间打开就是显示红
色，体验感满满。"
李***-,2021-12-15 17:16:53,5,已购 标准款（微信提醒+同步家人）,挺好用的 容量大  一下买了两个人  家人一起用
L***q,2022-01-11 21:02:57,5,已购 标准款（微信提醒+同步家人）,非常不错，分类提醒，干净卫生。给家人买的，吃药不再是那么麻烦的事情了，每天吃药种类较多，吃药时间不一致，可以入手试试！！
j***g,2024-11-11 21:39:57,5,已购 ⭐升级款（支持HUAWEI HiLink）,连接华为智慧生活，性能好，方便，可设置提醒时间，药品名称等。
a***1,2022-10-01 20:33:29,5,已购 标准款（微信提醒+同步家人）,一共四格，药能放不少。闹钟声音挺大的，不吃过段时间会再响，用着感觉不错
咩***佬,2024-10-27 15:14:50,5,已购 ⭐升级款（支持HUAWEI HiLink）,家里老人年纪大了，吃的药品种类多了，有了这个药盒不怕吃错，忘记吃药了。
五***-,2021-08-11 13:24:10,5,已购 标准款（微信提醒+同步家人）,"药盒很智能很好用，给父亲买的，与卖家描述的一致，非常满意,很喜欢，发货速度非常快，包装非常仔细、严实，运送速度很快，物流速度很快，满意的一次购物，祝商家生意兴隆！以后有需要的还会在过来看看！"
g***2,2021-03-24 12:36:29,5,已购 标准款（微信提醒+同步家人）,材质很有质感，开合也方便，容量也足，外出便携，适合每天需按时吃药的人。
在***5,2020-08-17 23:53:07,5,已购 标准款（微信提醒+同步家人）,外观小巧，便携，吃药时间到时，会有消息提醒，同时药盒会有声音和灯，如果多几个分格就更好了。
桐***k,2022-09-03 16:29:49,5,已购 标准款（微信提醒+同步家人）,东西收到了，非常满意，在京东买东西比较放心，快递送的也很快，基本上两天以内都可以拿到，一般买大件都会选择在京东买，总感觉质量和服务比较有保障，给家人买的，他们很喜欢
娅***眉,2021-05-28 16:00:01,5,已购 标准款（微信提醒+同步家人）,因为这个药盒很方便，因为之前经常忘记吃药的时间，有了这个就方便多了，可以及时提醒吃药，实在是太好用了，而且我还推荐给了我闺蜜。
2***g,2020-12-24 19:17:10,5,已购 标准款（微信提醒+同步家人）,非常棒的药盒，很智能，能按时提醒服药，跟手机APP连接，还可以实时监控服药情况，非常棒
j***魔,2024-05-18 13:28:07,5,已购 ⭐升级款（支持HUAWEI HiLink）,非常棒，家里人吃药总是会忘记，有这个提醒，就不会因为忘记吃药了。太好了。以后再也不会忘记吃药了。自己也放心了。
百***蚁,2021-02-22 14:04:24,5,已购 标准款（微信提醒+同步家人）,这是买的第二个呢，提醒吃药非常好 。唯一不满意的是小程序的吃药时间设置档位10分钟一档。如果5分钟一档就好了
凤***头,2021-05-09 21:56:37,5,已购 标准款（微信提醒+同步家人）,很棒的一款产品，从没想到小小的药盒，就有这么好的功能。使用起来也不复杂，准备给家里老人再买一个。
j***y,2024-02-09 09:48:35,5,已购 ⭐升级款（支持HUAWEI HiLink）,非常好用 还有定时提醒的功能 闹铃声也很温和 很好
庞***_,2023-12-27 00:15:17,5,已购 ⭐升级款（支持HUAWEI HiLink）,精致小巧，提醒及时，非常方便记性不好的使用！
7***j,2021-02-17 19:00:10,5,已购 标准款（微信提醒+同步家人）,货己收到了，迫不及待的按说明分类装好了，非常喜欢，如果药品多4个空间就不够了，建议可以增加几个空间。
h***l,2021-04-24 11:44:35,5,已购 标准款（微信提醒+同步家人）,很智能的药盒，喜欢智能提醒和药品绑定
W***牛,2022-09-03 07:00:23,5,已购 ⭐升级款（支持HUAWEI HiLink）,💌收到立马打开看了一下，非常不错，质量超好，颜值又高😘，推荐推荐🉑正品，棒棒哒，价格很优惠，总而言之挺好的，还会再买
青***r,2024-10-16 18:35:56,5,已购 ⭐升级款（支持HUAWEI HiLink）,很方便，到点就提醒～小巧，可以随身携带～四个格，也够用
r***9,2020-11-19 20:39:49,5,已购 标准款（微信提醒+同步家人）,药盒大小适中，容量合适，吃的不是特别多的话可以装一星期的药。设置方便，提醒及时。
w***6,2021-12-17 15:52:56,5,已购 标准款（微信提醒+同步家人）,248元入手！！！这是买了第三个，都是送别人！！！体积有点儿大！！！但是有提示，挺好！！！快递挺快的，第二天送到的！！！
u***8,2023-06-03 11:59:58,5,已购 ⭐升级款（支持HUAWEI HiLink）,非常好用，定时分盒提醒。药盒挺小巧，携带也方便，质感也很好。
Z***g,2020-09-28 14:14:55,5,已购 标准款（微信提醒+同步家人）,"hipee 智能药盒便携 小巧分装大容量药仓

非常好用，众筹的时候已经买过一个，现在有活动又入手几个。"
和***呐,2023-07-13 16:57:15,5,已购 ⭐升级款（支持HUAWEI HiLink）,材质结实，手感好，很得劲，物流也快，性价比很高，值得购买包装很好，质量非常棒，宝贝完全符合卖家的描述，可以放心购买😍感谢🙏
竹***人,2020-09-29 22:39:35,5,已购 标准款（微信提醒+同步家人）,东西小巧，还不错。就是手机离盒子近才能工作，连接不太畅，而且删了之后还会提醒，挺奇怪，估计有bug
j***r,2026-04-10 09:11:37,5,已购 ⭐升级款（支持HUAWEI HiLink）,用了两天感觉不错，到时间会提醒，不会忘记吃药了
j***o,2025-10-21 11:53:46,5,已购 标准款（微信提醒+同步家人）,挺方便的，可以在微信上设置提醒。药盒自动闹钟也会提醒。双重保险。不错
j***a,2024-01-05 09:11:22,5,已购 ⭐升级款（支持HUAWEI HiLink）,宝贝和介绍的一样，质感很好，功能强大，可以按时提醒，家人可以随时查看吃药记录帮忙监督
e***7,2022-09-13 17:03:09,5,已购 ⭐升级款（支持HUAWEI HiLink）,好用，不用再担心长辈忘记吃各种药物了，到时间就可以拿来就吃，完美的提醒作用
j***1,2023-11-15 14:39:15,5,已购 ⭐升级款（支持HUAWEI HiLink）,设置简单，东西不错，很智能，药盒可以再大一点，装更多药物
7***F,2021-11-14 18:49:16,5,已购 标准款（微信提醒+同步家人）,质量非常好，非常满意，真的很喜欢，完全超出期望值，发货速度也非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物体验
j***D,2021-07-14 17:15:20,5,已购 标准款（微信提醒+同步家人）,很不错！小巧方便！还能链接手机！对于健忘的人来说真是救命的东西，四个小药盒一共能装48个胶囊把，装满一次最起码半个月不用愁了！不得不说真是买到了好东西！
